OBJECTID,FEATTYPE,NAME,PERENNIAL,FEATREL,ATTRREL,PLANACC,SOURCE,CREATED,RETIRED,PID,SYMBOL,FEATWIDTH,ORIENTATN,TEXTNOTE,Id,RefFID,StepID,SHAPE_Leng,SHAPE_Area,ORIG_FID,RASTERVALU,POINT_X,POINT_Y,rain_1mm,art_nat,ARRIVE_MCP
4928,Windpump,NUMMERY WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,-9999,-1097639.426,-2098232.466,26.97665977,1,0
4299,Windpump,FOXES WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1073868.719,-2097694.236,27.60033035,1,0
29834,Lake,,Perennial,5/10/2002,5/10/2002,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3530642,10,0,0,,0,0,0,0.103072512,0.000121841,6835,0,-1097913.558,-2097649.137,26.97665977,0,0
5175,Windpump,BEDEN BEDEN WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1087004.025,-2096321.194,27.34041023,1,0
7173,Windpump,PIDGEON BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,-9999,-1091794.817,-2096110.544,27.34041023,1,0
11099,Bore,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,5,-1040186.629,-2093323.808,29.48806763,1,0
1271,Bore,NO5 WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1078472.24,-2091808.704,28.14277077,1,0
733,Bore,NORM BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1081310.463,-2091582.655,28.14277077,1,0
2647,Windpump,NO 3 BORE,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,7,-1071109.239,-2091394.556,28.62940216,1,0
6392,Windpump,CALANJADIE WELL,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,-9999,-1096566.331,-2091318.212,27.26605606,1,0
